added_at,album_name,track_number,artists,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,playlist_name,playlist_description
2021-03-26T12:27:38Z,Libertina 2,1,"[['lowz', '03t6CvukafsNbQU1OD2n3q']]",Libertina 2,33,0.742,0.619,9,-5.882999999999999,0,0.0578,0.125,0.0,0.128,0.311,125.056,audio_features,177032,4,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
2021-03-26T12:27:38Z,Sikatrizes,1,"[['Sidoka', '7EyzyrMNgqiK8bMrbkOT9l']]",Sikatrizes,50,0.7829999999999999,0.726,10,-5.093,1,0.132,0.424,0.0,0.10400000000000001,0.428,138.997,audio_features,195009,4,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
2021-03-26T12:27:38Z,Love And Choppa,1,"[['NGC Daddy', '2iNFFCEAFdfAV5hPdpMk6x']]",Love And Choppa,58,0.897,0.513,8,-9.652999999999999,1,0.389,0.521,0.000583,0.07200000000000001,0.7979999999999999,130.077,audio_features,140856,4,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
2021-03-26T12:27:38Z,Hey Bih,1,"[['Cabal', '1NaCje3joxxJ1jduJoV5Xt'], ['Krawk', '7a99I3BHPvsv4aBVNqb4g4'], ['Blakbone', '5pmOKG8qbFf3zvOXiRiN1L'], ['M7EL', '6EJilyFqG7OXfaaNG9Fuvl']]",Hey Bih,24,0.909,0.493,0,-9.491,0,0.0678,0.11900000000000001,0.0,0.0704,0.42700000000000005,120.04,audio_features,172000,4,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
2021-03-26T12:27:38Z,Avião,1,"[['MC Caverinha', '7tojcuXcZ7eBlQjbAc65Ee']]",Avião,57,0.879,0.418,10,-11.914000000000001,0,0.0559,0.5720000000000001,0.0,0.107,0.696,100.01799999999999,audio_features,139200,4,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
2021-03-26T12:27:38Z,"Obrigado, Mãe.",1,"[['Dfideliz', '0oNOkdVXXFaWC9tPb7Ol10']]","Obrigado, Mãe.",54,0.772,0.5539999999999999,1,-12.911,1,0.0332,0.168,0.0557,0.146,0.546,109.98200000000001,audio_features,157091,4,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
2021-03-26T12:27:38Z,Hortelã,1,"[['JayA Luuck', '4oxFgud0qa3A1tE6JFpFVp'], ['Greezy', '3exY81LSlWqpL03GFPTEgB'], ['Aldeia Records', '5q9yc7RScObCN016xvstXM']]",Hortelã,53,0.76,0.595,9,-9.692,1,0.0318,0.588,0.0,0.316,0.685,140.046,audio_features,137143,3,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
2021-03-26T12:27:38Z,É Isso,1,"[['Aka Rasta', '1beK7BpUs2hTagfzLUb1HB']]",É Isso,53,0.767,0.44,1,-9.294,0,0.266,0.652,0.0,0.105,0.536,129.92700000000002,audio_features,184635,4,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
2021-03-26T12:27:38Z,Outra Vez,1,"[['Mãolee', '72aE07MxpePfCELo4vGZcK'], ['Meno Tody', '2mNP0EIVZICxF8NJ46SG0L']]",Outra Vez,37,0.9,0.491,1,-8.579,0,0.248,0.0484,0.0,0.255,0.578,129.97899999999998,audio_features,181846,4,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
2021-03-26T12:27:38Z,Com a Mala,1,"[['Costa Gold', '7q1aEytv83jXNECmyaMhgn'], ['Dudu', '5Ynf8bbQV9ICbK3vZoPxGF']]",Com a Mala,50,0.879,0.78,8,-3.929,1,0.322,0.122,0.0,0.265,0.848,136.84,audio_features,213285,4,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
2021-03-19T03:01:00Z,Bandida,1,"[['UCLÃ', '4zP89WNloauEX8v8JdZbxP'], ['Sobs', '0zuan1WYTIhlisigYXsqY9'], ['Sueth', '4ZyBq7WEL7d2dDH0BkVDPX'], ['Sos', '01y0qj3pkC0Fw07YLnKsvK'], ['Duzz', '4oPnjkJcLqOim9KJxvIYMz']]",Bandida,59,0.833,0.5770000000000001,7,-5.422000000000001,1,0.0425,0.41100000000000003,0.0,0.11,0.475,125.057,audio_features,272640,4,TRAPando,Muito trap feito especialmente para os momentos mais sexys e quentes. [Conteúdo Explícito]
2021-03-19T03:01:00Z,Meu Lado da História,1,"[['Nandx710', '6Kk3DH8cxWFrTq9ajqck22'], ['Choji', '2gx1zKYcIAUboisufcHkjB'], ['David Gomes', '16hlg6k7mG0fnOOWxVBmuV']]",Meu Lado da História,67,0.6779999999999999,0.141,7,-16.789,1,0.237,0.778,0.0,0.0787,0.36700000000000005,113.69,audio_features,151897,4,TRAPando,Muito trap feito especialmente para os momentos mais sexys e quentes. [Conteúdo Explícito]
2021-03-19T03:01:00Z,Deja Vu,1,"[['Dolla', '1lzCig630ASEZm9vI4COE3'], ['L7NNON', '0JjPiLQNgAFaEkwoy56B1C'], ['Maia', '0ekfGWBjfg2WG6AHI4WXtM']]",Deja Vu,51,0.7390000000000001,0.354,1,-13.433,1,0.141,0.484,4.2499999999999996e-05,0.11800000000000001,0.5760000000000001,98.958,audio_features,213333,4,TRAPando,Muito trap feito especialmente para os momentos mais sexys e quentes. [Conteúdo Explícito]
