added_at,album_name,track_number,artists,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist_name,playlist_description
2022-06-10 03:01:00+00:00,Marília Mendonça,1,"[['BIN', '1WXbiUMl1AT9Inb619xPUg'], ['Mainstreet', '25XJqeReVV38w0tR04GGBd'], ['Mãolee', '72aE07MxpePfCELo4vGZcK']]",Marília Mendonça,57,0.633,0.631,4,-6.847,0,0.296,0.3,0.0,0.1,0.512,139.755,113519,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Sei Lá (Papatracks#7),1,"[['Papatinho', '0iZz25uH5PLaShpqq84uYv'], ['Choji', '2gx1zKYcIAUboisufcHkjB'], ['Lil Gabi', '5mBUw2lTWpPs3bMddcvoLh']]",Sei Lá (Papatracks#7),67,0.66,0.45,2,-7.747,1,0.314,0.577,0.000116,0.156,0.525,101.035,147327,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Pura Ilusão,1,"[['BIN', '1WXbiUMl1AT9Inb619xPUg'], ['MC Hariel', '0pcoadNMmvrUyab1RxWBoV'], ['Malibu', '0PMk31f9Log4ixwUUY40p6']]",Pura Ilusão,57,0.484,0.531,0,-9.635,1,0.116,0.556,0.000236,0.114,0.438,127.119,167349,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Apê 1001,1,"[['BIN', '1WXbiUMl1AT9Inb619xPUg'], ['LUDMILLA', '3CDoRporvSjdzTrm99a3gi'], ['Mainstreet', '25XJqeReVV38w0tR04GGBd'], ['Dallass', '4LAFtDzlQM89xov636hMVv']]",Apê 1001,64,0.575,0.549,6,-6.137,1,0.104,0.73,0.0,0.112,0.711,139.938,171429,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,AQuadrilha,2,"[['Djonga', '204IwDdaHE4ymGk9Kya2pY'], ['A Quadrilha', '0neNJWwLJ11bBi77uKu9MP'], ['Marcelo Tofani', '59EQw7iHjbElOkznITe43m'], ['X Sem Peita', '082vDMJAfkNZ3U13mjBYfY'], ['Bertiolli', '68RVK6jpOrblHL568LVW5F'], ['Dougnow', '6QgJ1fnTplY0ITGBrCsgtC'], ['Tibery', '2ECTJpRqtJ5BbavpnhHT01']]",Ouro Branco,54,0.796,0.578,1,-6.255,1,0.252,0.0287,0.0,0.0943,0.272,130.004,245538,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Eu Fiz o Jogo Virar,1,"[['Mc Poze do Rodo', '28ie4NNTa2VW2QV4Zray8M'], ['Mainstreet', '25XJqeReVV38w0tR04GGBd'], ['Ajaxx', '0y7B2G0jNMGWyQJsOoRMUt']]",Eu Fiz o Jogo Virar,72,0.621,0.499,6,-6.998,0,0.481,0.385,0.0,0.131,0.421,122.07,145574,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Easy Money,1,"[['Djonga', '204IwDdaHE4ymGk9Kya2pY'], ['Coyote Beatz', '2PhFsxtwCQLS3e9SJwDN3j']]",Easy Money,56,0.549,0.728,6,-5.198,0,0.5,0.0418,0.0,0.0708,0.496,83.469,191220,5,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Reis da Revoada,1,"[['Orochi', '3rfM2cGqF6DB0kUyytMkXx'], ['MC Ryan SP', '75i9GaW2MJUgt4BkdUnuUY'], ['Mainstreet', '25XJqeReVV38w0tR04GGBd'], ['Kizzy', '2NMYOlZHIEsSq7pp5jBjic'], ['Ajaxx', '0y7B2G0jNMGWyQJsOoRMUt']]",Reis da Revoada,52,0.487,0.707,8,-4.126,0,0.106,0.188,0.0,0.106,0.541,133.005,205663,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Proibidão 2021,1,"[['Borges', '6jBww4kwlSrjaNYP7AQPtX'], ['Bielzin', '2vWGxqWbGgmgxVDZ5CBvBP'], ['Mainstreet', '25XJqeReVV38w0tR04GGBd'], ['Chris Beats Zn', '0YOr5sV4zMMyj5xviWiFjW'], ['Flacko', '6r1OIJXsdVTkhH6ueDzOew'], ['Mc Rodson', '1dMvEh0mf2B6t4LvnzyXp4']]",Proibidão 2021,56,0.522,0.612,7,-5.923,0,0.344,0.0907,0.0,0.202,0.484,82.851,261639,5,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Universo Particular,1,"[['Hungria Hip Hop', '0vLuOi2k62sHujIfplInlK'], ['Kawe', '1TYJOhNSxMOODWiDVhuyZb'], ['NOG', '1QAoT8rjnSPy5pXpu3yiHS']]",Favela No Topo,63,0.892,0.49,8,-7.524,0,0.327,0.219,0.0,0.112,0.715,125.027,262200,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Vida Louca,1,"[['Mc Poze do Rodo', '28ie4NNTa2VW2QV4Zray8M'], ['Neo Beats', '6PERJZF7wohA034PAxDK0b'], ['Mainstreet', '25XJqeReVV38w0tR04GGBd']]",Vida Louca,69,0.852,0.62,6,-5.79,0,0.227,0.359,0.0,0.101,0.744,92.464,155676,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Imaterial (Deluxe),3,"[['Filipe Ret', '7gJN8W0589FisSYJS17K54'], ['Marcelo Falcão', '4r6d4drhz83kHCRVJnzgdr'], ['Dallass', '4LAFtDzlQM89xov636hMVv']]",Não Desista Agora,61,0.56,0.632,0,-5.839,1,0.131,0.287,0.0,0.0922,0.243,92.349,195000,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Taca o Bumbum (Papatracks#6) [feat. L7NNON],1,"[['NOG', '1QAoT8rjnSPy5pXpu3yiHS'], ['OIK', '1B5n6jsxvFldc6Nq8Wx8VJ'], ['Kaeni Mc', '7ClbJj6Is5f1XDvYHQgeBd'], ['L7NNON', '0JjPiLQNgAFaEkwoy56B1C']]",Taca o Bumbum (Papatracks#6) [feat. L7NNON],53,0.958,0.494,2,-7.45,1,0.274,0.19,4.86e-06,0.0545,0.622,126.045,211429,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Mateca x Teto,2,"[['Teto', '68YeXpLt3jB7JHQS5ZjMGo'], ['Mateca', '6PCKJU7fu36U4fRl7354wU']]",Balazul,66,0.843,0.458,5,-7.428,0,0.166,0.31,0.0,0.14,0.772,110.077,202909,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,A Cara do Crime 3 (Brinde à Liberdade),1,"[['Mc Poze do Rodo', '28ie4NNTa2VW2QV4Zray8M'], ['Orochi', '3rfM2cGqF6DB0kUyytMkXx'], ['Filipe Ret', '7gJN8W0589FisSYJS17K54'], ['Mainstreet', '25XJqeReVV38w0tR04GGBd'], ['Bielzin', '2vWGxqWbGgmgxVDZ5CBvBP']]",A Cara do Crime 3 (Brinde à Liberdade),73,0.616,0.591,11,-4.298,0,0.318,0.284,0.0,0.0791,0.704,173.817,300690,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Fim de Semana no Rio,1,"[['Teto', '68YeXpLt3jB7JHQS5ZjMGo']]",Fim de Semana no Rio,82,0.867,0.494,1,-6.514,0,0.084,0.118,0.0,0.101,0.29,118.868,165882,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
